storage,manufacturer,name,lot_number,manufactured_on,expired_on
"Gatorade Lab, Hazardous",PepsiCo,Apple Pear Flavor 9A809*01 Version 1,816151,9/19/2013,3/19/2015
"Gatorade Lab, Hazardous",Givaudan,Natural & Artificial Orange Grapefruit,EH00086988,10/31/2013,4/30/2015
"Gatorade Lab, Hazardous",Givaudan,Nat Yuzu Flavor Type,42100101269,2/7/2013,8/7/2014
"Gatorade Lab, Non-Hazardous",Givaudan,Nat Watermelon Flavor WONF,42100101376,2/8/2013,8/8/2014
"Gatorade Lab, Non-Hazardous",Givaudan,Natural Kiwi Flavor WONF,42100101353,2/8/2013,8/8/2014
"Gatorade Lab, Non-Hazardous",Givaudan,Nat Cucumber Flavor WONF,DFS1022L01,2/8/2013,8/8/2014
"Gatorade Lab, Non-Hazardous",Givaudan,Nat Mango Lemon Flavor WONF,gwt1014m07,10/15/2013,4/15/2015
"Gatorade Lab, Non-Hazardous",Givaudan,Nat Yuzu Flavor ,MMS1004M04,10/8/2013,4/8/2015
"Gatorade Lab, Non-Hazardous",Givaudan,Nat Yuzu Kiwi Flavor,JMT0429M02,5/1/2013,11/1/2014
"Gatorade Lab, Hazardous",Givaudan,Nat Mango Lemon Flavor,JMT0429M05,5/1/2013,11/1/2014
"Gatorade Lab, Non-Hazardous",Givaudan,Nat Yuzu Flavor Type,mms1004m04,10/15/2013,4/15/2015
"Gatorade Lab, Hazardous",Givaudan,Nat. Alphonso Mango Flavor Key Type,at1022m04,10/15/2013,4/15/2015
"Gatorade Lab, Non-Hazardous",Givaudan,Nat Yuzu Kiwi Type Flavor ,gwt1014m03,10/15/2013,4/15/2015
"Gatorade Lab, Non-Hazardous",Takasago,Natural Strawberry Flavor WONF ,23677,1/18/2013,7/18/2014
"Gatorade Lab, NOn-Hazardous",Takasago,Natural Flavor Strawberry Q Type,PPLC-13-066,1/18/2013,7/18/2014
"Gatorade Lab, Non-Hazardous",Firmenich,Nat Fl (Iced Tea Type) 37856912S,1304016419,4/23/2013,4/23/2014
"Gatorade Lab, Hazardous",Firmenich,Nat. Lime Flavor,1001234584,2/5/2013,11/5/2014
